iter	Passed	Remaining
555	9300	7427
556	9318	7411
557	9335	7394
558	9348	7375
559	9364	7357
560	9380	7340
561	9396	7323
562	9411	7305
563	9424	7285
564	9439	7267
565	9453	7248
566	9468	7230
567	9482	7212
568	9496	7193
569	9507	7172
570	9523	7154
571	9538	7137
572	9553	7119
573	9567	7100
574	9583	7083
575	9598	7065
576	9614	7048
577	9631	7031
578	9649	7016
579	9665	6999
580	9678	6979
581	9694	6962
582	9710	6945
583	9724	6926
584	9741	6910
585	9758	6894
586	9773	6876
587	9789	6859
588	9803	6841
589	9821	6824
590	9838	6808
591	9854	6791
592	9871	6774
593	9887	6758
594	9900	6739
595	9915	6721
596	9930	6703
597	9945	6685
598	9961	6668
599	9977	6651
600	9993	6634
601	10010	6618
602	10026	6601
603	10043	6584
604	10057	6566
605	10072	6548
606	10092	6534
607	10113	6520
608	10130	6504
609	10150	6489
610	10166	6472
611	10178	6452
612	10192	6434
613	10206	6416
614	10222	6399
615	10237	6381
616	10255	6366
617	10276	6351
618	10296	6337
619	10314	6321
620	10331	6305
621	10347	6288
622	10363	6271
623	10381	6255
624	10397	6238
625	10414	6221
626	10430	6205
627	10445	6187
628	10460	6169
629	10473	6151
630	10488	6133
631	10505	6117
632	10520	6099
633	10537	6083
634	10552	6065
635	10566	6047
636	10582	6030
637	10596	6012
638	10610	5994
639	10625	5976
640	10639	5958
641	10655	5941
642	10672	5925
643	10685	5907
644	10699	5888
645	10714	5871
646	10729	5854
647	10746	5837
648	10761	5820
649	10777	5803
650	10791	5785
651	10807	5768
652	10822	5750
653	10836	5732
654	10849	5714
655	10864	5697
656	10880	5680
657	10894	5662
658	10907	5644
659	10921	5625
660	10935	5608
661	10949	5590
662	10964	5573
663	10979	5555
664	10994	5538
665	11011	5522
666	11027	5505
667	11041	5487
668	11056	5470
669	11072	5453
670	11087	5436
671	11101	5418
672	11117	5402
673	11135	5385
674	11152	5369
675	11168	5353
676	11189	5338
677	11210	5324
678	11227	5307
679	11243	5290
680	11258	5274
681	11272	5256
682	11286	5238
683	11300	5220
684	11317	5204
685	11335	5188
686	11351	5171
687	11364	5153
688	11380	5136
689	11394	5119
690	11408	5101
691	11424	5085
692	11441	5068
693	11459	5052
694	11477	5036
695	11491	5019
696	11508	5002
697	11523	4985
698	11537	4968
699	11553	4951
700	11567	4933
701	11580	4916
702	11595	4898
703	11610	4881
704	11626	4864
705	11640	4847
706	11655	4830
707	11668	4812
708	11682	4794
709	11694	4776
710	11710	4759
711	11725	4742
712	11740	4725
713	11756	4709
