b\n,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
1000,0.00258058,0.0051457,0.0076599,0.0102274,0.0128787,0.0154603,0.0179825,0.0206177,0.0231865,0.0257868,0.0283687,0.0309347,0.0335767,0.0360938,0.0385494,0.0412895,0.0439762,0.0465962,0.0490957,0.0517534,0.0542752,0.0571404,0.0596046,0.0622341,0.064909,0.0671287,0.0695768,0.0723234,0.0749592,0.0780986,0.0800949,0.0829057,0.0855631,0.0884038,0.0909607,0.0933132,0.0963033,0.0987833,0.101285,0.104119,0.106751,0.108622,0.111793,0.113774,0.116838,0.118979,0.122045,0.124359,0.127252,0.129668
1100,0.00284619,0.00561901,0.00849655,0.0112565,0.0141821,0.0170074,0.0200619,0.0228884,0.025683,0.0284799,0.031319,0.0342688,0.0370002,0.0399815,0.0428167,0.0458575,0.0486551,0.0515124,0.0542723,0.057255,0.0597615,0.0628094,0.0657818,0.0685222,0.0716476,0.0746481,0.0776184,0.0804453,0.0830556,0.0861608,0.0882804,0.0912145,0.0942267,0.0969509,0.0997185,0.102734,0.105287,0.108407,0.111243,0.113999,0.116707,0.119718,0.122649,0.125381,0.127653,0.130817,0.13375,0.136941,0.139806,0.142326
1200,0.00311177,0.00619614,0.0092822,0.0124005,0.0154268,0.01859,0.0215874,0.0248468,0.0279411,0.0310776,0.0341821,0.0373665,0.0405433,0.0436683,0.0466541,0.0498827,0.0531043,0.0560514,0.0592845,0.0622348,0.0657539,0.0687264,0.0714649,0.074876,0.0778728,0.0809567,0.0841219,0.087584,0.0902361,0.0933366,0.0965858,0.0994342,0.102796,0.105334,0.108946,0.112114,0.114942,0.118165,0.12144,0.124516,0.127568,0.130645,0.133832,0.136846,0.139984,0.143408,0.146419,0.150379,0.152871,0.155339
1300,0.00341217,0.006656,0.0101296,0.013469,0.0167851,0.0202755,0.0235712,0.027053,0.0304274,0.0337625,0.0370629,0.0406862,0.0439666,0.0473716,0.0505397,0.0541833,0.0572456,0.0609054,0.0641403,0.0677528,0.0708471,0.0744595,0.078033,0.0808793,0.0846035,0.0876482,0.091169,0.0946516,0.0978552,0.101675,0.104981,0.108243,0.111865,0.115264,0.117859,0.121439,0.125025,0.128761,0.132011,0.135679,0.139378,0.142082,0.14519,0.148596,0.152425,0.155744,0.15903,0.162068,0.165234,0.168634
1400,0.00358069,0.00714886,0.0108508,0.014393,0.0181909,0.0219386,0.0254789,0.0290606,0.0326536,0.036296,0.0400184,0.0436457,0.047414,0.0509918,0.054564,0.058187,0.0619169,0.0653238,0.0690243,0.0725917,0.0775805,0.0800822,0.0834171,0.0874378,0.0907291,0.0944066,0.09807,0.1025,0.106274,0.109519,0.112568,0.116971,0.119934,0.124162,0.127179,0.131112,0.135033,0.137984,0.141864,0.145272,0.149236,0.152518,0.156362,0.159956,0.163526,0.167363,0.170675,0.174504,0.178242,0.181542
1500,0.00388212,0.00773431,0.0116896,0.0156244,0.0193314,0.0232792,0.0272446,0.0313273,0.03526,0.0393866,0.0430006,0.046924,0.0506447,0.0546719,0.0584594,0.062648,0.0664203,0.070229,0.0743396,0.0780278,0.0823562,0.0860196,0.089481,0.0936471,0.0975385,0.101626,0.105276,0.109227,0.113148,0.116958,0.120856,0.125064,0.12895,0.132697,0.13663,0.140346,0.144576,0.14815,0.152568,0.156211,0.159743,0.163799,0.167745,0.171746,0.175456,0.179573,0.183489,0.18717,0.190998,0.195166
1600,0.00416913,0.00822688,0.012449,0.0165977,0.0209556,0.0250926,0.0293543,0.0333268,0.0375651,0.0419503,0.0457553,0.0500449,0.0541412,0.058534,0.0629443,0.0666951,0.0710615,0.075059,0.0795528,0.0834133,0.0875749,0.0919019,0.0961502,0.100057,0.104494,0.108834,0.112873,0.116868,0.120838,0.125191,0.129274,0.133641,0.13798,0.141658,0.145797,0.149881,0.154504,0.158314,0.162437,0.167135,0.171401,0.175405,0.179482,0.183538,0.188361,0.191989,0.196197,0.200181,0.203786,0.208461
1700,0.00449076,0.00884916,0.0131628,0.0175916,0.0221631,0.0266511,0.0311571,0.0358729,0.0402285,0.0447084,0.0492366,0.0535537,0.0579071,0.062273,0.0672007,0.0716013,0.0757977,0.0807286,0.0843149,0.0897301,0.0938246,0.0984894,0.102619,0.107185,0.111241,0.11515,0.12039,0.124673,0.12998,0.133339,0.137883,0.142856,0.146902,0.151688,0.155786,0.160852,0.164282,0.168522,0.173316,0.177779,0.182178,0.18753,0.191477,0.19572,0.199949,0.204842,0.208908,0.213356,0.218258,0.222976
1800,0.00464415,0.00933307,0.0139009,0.0187692,0.0235714,0.0284478,0.0333639,0.0378483,0.0424399,0.0469142,0.0518026,0.0564922,0.0616937,0.0660215,0.0711644,0.0755456,0.0808132,0.0850051,0.0896514,0.0949419,0.0989394,0.103812,0.108615,0.11355,0.117688,0.123518,0.127058,0.131675,0.136823,0.141111,0.14601,0.151149,0.155268,0.16054,0.165221,0.169852,0.174809,0.178687,0.183373,0.188239,0.193528,0.199466,0.203467,0.207767,0.212834,0.217544,0.222029,0.226545,0.231603,0.235424
1900,0.0049879,0.0099386,0.0148939,0.0198177,0.0249464,0.0298756,0.0347919,0.0396611,0.0449856,0.049921,0.0546974,0.0598514,0.0649233,0.0698381,0.0746279,0.0796487,0.0846391,0.0896679,0.0949357,0.0998051,0.104659,0.109669,0.11507,0.119484,0.124815,0.129639,0.134683,0.140026,0.144494,0.149273,0.15476,0.159647,0.164614,0.169757,0.174449,0.17947,0.18496,0.190328,0.194369,0.198689,0.204682,0.209335,0.214716,0.219453,0.22458,0.229131,0.234009,0.239467,0.245066,0.249954
